Item,Item Num,Vendor,Qty,Cost Per,Total Cost
HC-SR04 Ranging Detector,B004U8TOE6,Amazon,1,4.95,4.95
USAQ Micro Claw Hook System,B06VY6R8R9,Amazon,1,14.95,14.95
Accelerometer/Gyroscope,B01DK83ZYQ,Amazon,1,4.99,4.99
HMG MA3D 3 Axis Brushless Gimbal,571000061-0,Hobby King,1,41.6,41.6
Arduino Starter Kit,B01CZTLHGE,Amazon,1,53.99,53.99
Ultimaker 3D 3.00mm Printing Filament,N/A,Matter Hackers,1,49.95,49.95
Hall Effect Sensor,158,Adafruit,1,2,2
XBee,968,,2,22.95,45.9
MLX90640 IR Thermal Camera Breakout,4407,Adafruit,1,59.95,59.95
KNACRO IR Infrared Temperature Sensor,B06WVGD8WJ,Amazon,1,12.45,12.45
,,,,Total,290.73
